Date,Day_Number,Day,Month,Short_Month,Calendar_Month_Number,Calendar_Month_Label,Calendar_Year,Calendar_Year_Label,Fiscal_Month_Number,Fiscal_Month_Label,Fiscal_Year,Fiscal_Year_Label,ISO_Week_Number
2005-02-17T00:00:00.000Z,17,17,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,7
2005-02-18T00:00:00.000Z,18,18,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,7
2005-02-19T00:00:00.000Z,19,19,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,7
2005-02-20T00:00:00.000Z,20,20,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,7
2005-03-11T00:00:00.000Z,11,11,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,10
2005-03-12T00:00:00.000Z,12,12,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,10
2005-03-13T00:00:00.000Z,13,13,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,10
2005-03-14T00:00:00.000Z,14,14,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,11
2005-03-15T00:00:00.000Z,15,15,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,11
2005-03-16T00:00:00.000Z,16,16,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,11
2005-03-17T00:00:00.000Z,17,17,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,11
2005-03-18T00:00:00.000Z,18,18,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,11
2005-03-19T00:00:00.000Z,19,19,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,11
2005-03-20T00:00:00.000Z,20,20,March,Mar,3,CY2005-Mar,2005,CY2005,5,FY2005-Mar,2005,FY2005,11
2005-04-11T00:00:00.000Z,11,11,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,15
2005-04-12T00:00:00.000Z,12,12,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,15
2005-04-13T00:00:00.000Z,13,13,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,15
2005-04-14T00:00:00.000Z,14,14,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,15
2005-04-15T00:00:00.000Z,15,15,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,15
2005-04-16T00:00:00.000Z,16,16,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,15
2005-04-17T00:00:00.000Z,17,17,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,15
2005-04-18T00:00:00.000Z,18,18,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,16
2005-04-19T00:00:00.000Z,19,19,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,16
2005-04-20T00:00:00.000Z,20,20,April,Apr,4,CY2005-Apr,2005,CY2005,6,FY2005-Apr,2005,FY2005,16
2005-05-11T00:00:00.000Z,11,11,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,19
2005-05-12T00:00:00.000Z,12,12,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,19
2005-05-13T00:00:00.000Z,13,13,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,19
2005-05-14T00:00:00.000Z,14,14,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,19
2005-05-15T00:00:00.000Z,15,15,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,19
2005-05-16T00:00:00.000Z,16,16,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,20
2005-05-17T00:00:00.000Z,17,17,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,20
2005-05-18T00:00:00.000Z,18,18,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,20
2005-05-19T00:00:00.000Z,19,19,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,20
2005-05-20T00:00:00.000Z,20,20,May,May,5,CY2005-May,2005,CY2005,7,FY2005-May,2005,FY2005,20
2005-06-11T00:00:00.000Z,11,11,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,23
2005-06-12T00:00:00.000Z,12,12,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,23
2005-06-13T00:00:00.000Z,13,13,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,24
2005-06-14T00:00:00.000Z,14,14,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,24
2005-06-15T00:00:00.000Z,15,15,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,24
2005-06-16T00:00:00.000Z,16,16,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,24
2005-06-17T00:00:00.000Z,17,17,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,24
2005-06-18T00:00:00.000Z,18,18,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,24
2005-06-19T00:00:00.000Z,19,19,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,24
2005-06-20T00:00:00.000Z,20,20,June,Jun,6,CY2005-Jun,2005,CY2005,8,FY2005-Jun,2005,FY2005,25
2005-07-11T00:00:00.000Z,11,11,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,28
2005-07-12T00:00:00.000Z,12,12,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,28
2005-07-13T00:00:00.000Z,13,13,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,28
2005-07-14T00:00:00.000Z,14,14,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,28
2005-07-15T00:00:00.000Z,15,15,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,28
2005-07-16T00:00:00.000Z,16,16,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,28
2005-07-17T00:00:00.000Z,17,17,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,28
2005-07-18T00:00:00.000Z,18,18,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,29
2005-07-19T00:00:00.000Z,19,19,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,29
2005-07-20T00:00:00.000Z,20,20,July,Jul,7,CY2005-Jul,2005,CY2005,9,FY2005-Jul,2005,FY2005,29
2005-08-11T00:00:00.000Z,11,11,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,32
2005-08-12T00:00:00.000Z,12,12,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,32
2005-08-13T00:00:00.000Z,13,13,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,32
2005-08-14T00:00:00.000Z,14,14,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,32
2005-08-15T00:00:00.000Z,15,15,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,33
2005-08-16T00:00:00.000Z,16,16,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,33
2005-08-17T00:00:00.000Z,17,17,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,33
2005-08-18T00:00:00.000Z,18,18,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,33
2005-08-19T00:00:00.000Z,19,19,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,33
2005-08-20T00:00:00.000Z,20,20,August,Aug,8,CY2005-Aug,2005,CY2005,10,FY2005-Aug,2005,FY2005,33
2005-09-11T00:00:00.000Z,11,11,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,36
2005-09-12T00:00:00.000Z,12,12,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,37
2005-09-13T00:00:00.000Z,13,13,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,37
2005-09-14T00:00:00.000Z,14,14,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,37
2005-09-15T00:00:00.000Z,15,15,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,37
2005-09-16T00:00:00.000Z,16,16,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,37
2005-09-17T00:00:00.000Z,17,17,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,37
2005-09-18T00:00:00.000Z,18,18,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,37
2005-09-19T00:00:00.000Z,19,19,September,Sep,9,CY2005-Sep,2005,CY2005,11,FY2005-Sep,2005,FY2005,38
2005-10-11T00:00:00.000Z,11,11,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,41
2005-10-12T00:00:00.000Z,12,12,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,41
2005-10-13T00:00:00.000Z,13,13,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,41
2005-10-14T00:00:00.000Z,14,14,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,41
2005-10-15T00:00:00.000Z,15,15,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,41
2005-10-16T00:00:00.000Z,16,16,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,41
2005-10-17T00:00:00.000Z,17,17,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,42
2005-10-18T00:00:00.000Z,18,18,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,42
2005-10-19T00:00:00.000Z,19,19,October,Oct,10,CY2005-Oct,2005,CY2005,12,FY2005-Oct,2005,FY2005,42
2005-11-10T00:00:00.000Z,10,10,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,45
2005-11-11T00:00:00.000Z,11,11,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,45
2005-11-12T00:00:00.000Z,12,12,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,45
2005-11-13T00:00:00.000Z,13,13,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,45
2005-11-14T00:00:00.000Z,14,14,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,46
2005-11-15T00:00:00.000Z,15,15,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,46
2005-11-16T00:00:00.000Z,16,16,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,46
2005-11-17T00:00:00.000Z,17,17,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,46
2005-11-18T00:00:00.000Z,18,18,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,46
2005-11-19T00:00:00.000Z,19,19,November,Nov,11,CY2005-Nov,2005,CY2005,1,FY2006-Nov,2006,FY2006,46
2005-12-10T00:00:00.000Z,10,10,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,49
2005-12-11T00:00:00.000Z,11,11,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,49
2005-12-12T00:00:00.000Z,12,12,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,50
2005-12-13T00:00:00.000Z,13,13,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,50
2005-12-14T00:00:00.000Z,14,14,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,50
2005-12-15T00:00:00.000Z,15,15,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,50
2005-12-16T00:00:00.000Z,16,16,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,50
2005-12-17T00:00:00.000Z,17,17,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,50
2005-12-18T00:00:00.000Z,18,18,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,50
2005-12-19T00:00:00.000Z,19,19,December,Dec,12,CY2005-Dec,2005,CY2005,2,FY2006-Dec,2006,FY2006,51
2004-01-01T00:00:00.000Z,1,1,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,1
2004-01-02T00:00:00.000Z,2,2,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,1
2004-01-03T00:00:00.000Z,3,3,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,1
2004-01-04T00:00:00.000Z,4,4,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,1
2004-01-05T00:00:00.000Z,5,5,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,2
2004-01-06T00:00:00.000Z,6,6,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,2
2004-01-07T00:00:00.000Z,7,7,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,2
2004-01-08T00:00:00.000Z,8,8,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,2
2004-01-09T00:00:00.000Z,9,9,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,2
2004-01-10T00:00:00.000Z,10,10,January,Jan,1,CY2004-Jan,2004,CY2004,3,FY2004-Jan,2004,FY2004,2
2004-02-01T00:00:00.000Z,1,1,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,5
2004-02-02T00:00:00.000Z,2,2,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,6
2004-02-03T00:00:00.000Z,3,3,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,6
2004-02-04T00:00:00.000Z,4,4,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,6
2004-02-05T00:00:00.000Z,5,5,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,6
2004-02-06T00:00:00.000Z,6,6,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,6
2004-02-07T00:00:00.000Z,7,7,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,6
2004-02-08T00:00:00.000Z,8,8,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,6
2004-02-09T00:00:00.000Z,9,9,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,7
2004-02-10T00:00:00.000Z,10,10,February,Feb,2,CY2004-Feb,2004,CY2004,4,FY2004-Feb,2004,FY2004,7
2004-03-01T00:00:00.000Z,1,1,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,10
2004-03-02T00:00:00.000Z,2,2,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,10
2004-03-03T00:00:00.000Z,3,3,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,10
2004-03-04T00:00:00.000Z,4,4,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,10
2004-03-05T00:00:00.000Z,5,5,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,10
2004-03-06T00:00:00.000Z,6,6,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,10
2004-03-07T00:00:00.000Z,7,7,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,10
2004-03-08T00:00:00.000Z,8,8,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,11
2004-03-09T00:00:00.000Z,9,9,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,11
2004-03-10T00:00:00.000Z,10,10,March,Mar,3,CY2004-Mar,2004,CY2004,5,FY2004-Mar,2004,FY2004,11
2004-04-01T00:00:00.000Z,1,1,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,14
2004-04-02T00:00:00.000Z,2,2,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,14
2004-04-03T00:00:00.000Z,3,3,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,14
2004-04-04T00:00:00.000Z,4,4,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,14
2004-04-05T00:00:00.000Z,5,5,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,15
2004-04-06T00:00:00.000Z,6,6,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,15
2004-04-07T00:00:00.000Z,7,7,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,15
2004-04-08T00:00:00.000Z,8,8,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,15
2004-04-09T00:00:00.000Z,9,9,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,15
2004-04-10T00:00:00.000Z,10,10,April,Apr,4,CY2004-Apr,2004,CY2004,6,FY2004-Apr,2004,FY2004,15
2004-05-01T00:00:00.000Z,1,1,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,18
2004-05-02T00:00:00.000Z,2,2,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,18
2004-05-03T00:00:00.000Z,3,3,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,19
2004-05-04T00:00:00.000Z,4,4,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,19
2004-05-05T00:00:00.000Z,5,5,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,19
2004-05-06T00:00:00.000Z,6,6,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,19
2004-05-07T00:00:00.000Z,7,7,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,19
2004-05-08T00:00:00.000Z,8,8,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,19
2004-05-09T00:00:00.000Z,9,9,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,19
2004-05-10T00:00:00.000Z,10,10,May,May,5,CY2004-May,2004,CY2004,7,FY2004-May,2004,FY2004,20
2004-06-01T00:00:00.000Z,1,1,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,23
2004-06-02T00:00:00.000Z,2,2,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,23
2004-06-03T00:00:00.000Z,3,3,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,23
2004-06-04T00:00:00.000Z,4,4,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,23
2004-06-05T00:00:00.000Z,5,5,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,23
2004-06-06T00:00:00.000Z,6,6,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,23
2004-06-07T00:00:00.000Z,7,7,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,24
2004-06-08T00:00:00.000Z,8,8,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,24
2004-06-09T00:00:00.000Z,9,9,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,24
2004-06-10T00:00:00.000Z,10,10,June,Jun,6,CY2004-Jun,2004,CY2004,8,FY2004-Jun,2004,FY2004,24
2004-07-01T00:00:00.000Z,1,1,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,27
2004-07-02T00:00:00.000Z,2,2,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,27
2004-07-03T00:00:00.000Z,3,3,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,27
2004-07-04T00:00:00.000Z,4,4,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,27
2004-07-05T00:00:00.000Z,5,5,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,28
2004-07-06T00:00:00.000Z,6,6,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,28
2004-07-07T00:00:00.000Z,7,7,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,28
2004-07-08T00:00:00.000Z,8,8,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,28
2004-07-09T00:00:00.000Z,9,9,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,28
2004-07-10T00:00:00.000Z,10,10,July,Jul,7,CY2004-Jul,2004,CY2004,9,FY2004-Jul,2004,FY2004,28
2004-08-01T00:00:00.000Z,1,1,August,Aug,8,CY2004-Aug,2004,CY2004,10,FY2004-Aug,2004,FY2004,31
2004-08-02T00:00:00.000Z,2,2,August,Aug,8,CY2004-Aug,2004,CY2004,10,FY2004-Aug,2004,FY2004,32
2004-08-03T00:00:00.000Z,3,3,August,Aug,8,CY2004-Aug,2004,CY2004,10,FY2004-Aug,2004,FY2004,32
2004-08-04T00:00:00.000Z,4,4,August,Aug,8,CY2004-Aug,2004,CY2004,10,FY2004-Aug,2004,FY2004,32
2004-08-05T00:00:00.000Z,5,5,August,Aug,8,CY2004-Aug,2004,CY2004,10,FY2004-Aug,2004,FY2004,32
2004-08-06T00:00:00.000Z,6,6,August,Aug,8,CY2004-Aug,2004,CY2004,10,FY2004-Aug,2004,FY2004,32
2004-08-07T00:00:00.000Z,7,7,August,Aug,8,CY2004-Aug,2004,CY2004,10,FY2004-Aug,2004,FY2004,32
2004-08-08T00:00:00.000Z,8,8,August,Aug,8,CY2004-Aug,2004,CY2004,10,FY2004-Aug,2004,FY2004,32
